time,x,y,theta_deg
9.1,66.61192,-66.35671,2.914946
9.15,66.97918,-68.483765,7.1030793
9.200000000000001,67.320335,-70.629845,11.314574
9.25,67.63551,-72.793976,15.6064415
9.3,67.924835,-74.97518,20.001009
9.35,68.18926,-77.172,24.527805
9.4,68.43017,-79.38286,29.182398
9.450000000000001,68.64766,-81.60596,33.80231
9.5,68.84254,-83.83905,38.336456
9.55,69.015884,-86.079796,42.768787
9.600000000000001,69.1685,-88.32564,47.076565
9.65,69.30094,-90.57274,51.230225
9.700000000000001,69.41393,-92.81719,55.236206
9.75,69.50817,-95.0556,59.104164
9.8,69.583466,-97.28622,62.784107
9.850000000000001,69.64033,-99.5053,66.19181
9.9,69.68011,-101.71021,69.32052
9.950000000000001,69.703865,-103.89979,72.18505
10.0,69.71208,-106.07445,74.83104
10.05,69.70583,-108.23405,77.17936
10.100000000000001,69.6867,-110.37923,79.22582
10.15,69.65562,-112.51096,80.98439
10.200000000000001,69.612976,-114.63041,82.47532
10.25,69.558815,-116.738754,83.72075
10.3,69.49194,-118.83729,84.794014
10.350000000000001,69.410904,-120.926674,85.74555
10.4,69.314735,-123.00705,86.598076
10.450000000000001,69.20291,-125.07828,87.36598
10.5,69.07518,-127.14009,88.059715
10.55,68.93147,-129.19215,88.687386
10.600000000000001,68.77186,-131.23439,89.23467
10.65,68.59595,-133.26703,89.75413
10.700000000000001,68.40272,-135.28972,90.329384
10.75,68.19107,-137.30135,90.97696
10.8,67.96022,-139.30272,91.63899
10.850000000000001,67.71055,-141.29494,92.33056
10.9,67.446045,-143.27924,93.0381
10.950000000000001,67.17216,-145.25621,93.75123
11.0,66.88955,-147.22488,94.52072
11.05,66.59785,-149.18262,95.154396
11.100000000000001,66.29704,-151.1286,95.66357
11.15,65.9871,-153.06204,96.05385
11.200000000000001,65.66559,-154.98152,96.28451
11.25,65.33142,-156.88593,96.3684
11.3,64.98429,-158.77417,96.319
11.350000000000001,64.6243,-160.6453,96.147964
11.4,64.25174,-162.49843,95.86554
11.450000000000001,63.86703,-164.33281,95.480995
11.5,63.470974,-166.1478,95.03352
11.55,63.06828,-167.94281,94.60648
11.600000000000001,62.663567,-169.71716,94.1411
11.65,62.25849,-171.47064,93.6392
11.700000000000001,61.853306,-173.20323,93.105934
11.75,61.444656,-174.91576,92.54848
11.8,61.031048,-176.60867,92.00957
11.850000000000001,60.612206,-178.2823,91.53142
11.9,60.189636,-179.93668,91.11916
11.950000000000001,59.764862,-181.57181,90.771225
12.0,59.3404,-183.1874,90.45986
